time,ra.x1,ra.x2,ra.x3,ra.x4,ra.x5,ra.x6
357,1.92,0,2.97,1.54,0,2.18
358,1.92,0,2.97,1.54,0,2.17
359,1.92,0,2.96,1.53,0,2.17
360,1.92,0,2.96,1.61,0,2.17
361,1.92,0,2.96,1.67,0,2.17
362,1.92,0,2.96,1.66,0,2.17
363,1.91,0,2.95,1.66,0,2.16
364,1.91,0,2.95,1.66,0,2.16
365,1.91,0,2.95,1.66,0,2.16
366,1.91,0,2.94,1.65,0,2.16
367,1.9,0,2.94,1.65,0,2.16
368,1.9,0,2.94,1.65,0,2.16
369,1.9,0,2.94,1.64,0,2.15
370,1.89,0,2.93,1.65,0,2.15
371,1.89,0,2.93,1.64,0,2.15
372,1.89,0,2.93,1.64,0,2.15
373,1.89,0,2.92,1.64,0,2.14
374,1.88,0,2.92,1.64,0,2.14
375,1.88,0,2.92,1.63,0,2.14
376,1.88,0,2.92,1.63,0,2.14
377,1.88,0,2.92,1.63,0,2.14
378,1.88,0,2.91,1.63,0,2.13
379,1.87,0,2.91,1.63,0,2.13
380,1.87,0,2.9,1.62,0,2.13
381,1.87,0,2.91,1.62,0,2.13
382,1.87,0,2.9,1.62,0,2.12
383,1.86,0,2.9,1.62,0,2.12
384,1.86,0,2.9,1.61,0,2.12
385,1.86,0,2.89,1.61,0,2.12
386,1.86,0,2.89,1.61,0,2.12
387,1.85,0,2.89,1.61,0,2.12
388,1.85,0,2.88,1.6,0,2.11
389,1.85,0,2.88,1.6,0,2.11
390,1.85,0,2.88,1.6,0,2.11
391,1.85,0,2.88,1.6,0,2.11
392,1.84,0,2.87,1.59,0,2.11
393,1.84,0,2.87,1.59,0,2.1
394,1.84,0,2.87,1.59,0,2.1
395,1.84,0,2.87,1.59,0,2.1
396,1.83,0,2.86,1.59,0,2.1
397,1.83,0,2.86,1.78,0,2.1
398,1.83,0,2.86,1.78,0,2.09
399,1.83,0,2.86,1.78,0,3.18
400,1.83,0,2.86,1.77,0,3.17
401,1.82,0,2.85,1.77,0,3.17
402,1.82,0,2.85,1.77,0,3.17
403,1.82,0,2.85,1.77,0,3.16
404,1.82,0,3.62,1.76,0,3.16
405,1.81,0,3.61,1.76,0,3.16
406,1.81,0,3.63,1.76,0,3.15
407,1.81,0,3.63,1.76,0,3.15
408,1.81,0,3.63,1.75,0,3.15
409,1.81,0,3.63,1.75,0,3.15
410,1.8,0,3.62,1.75,0,3.15
411,1.8,0,3.62,1.75,0,3.14
412,1.8,0,3.62,1.74,0,3.14
413,1.8,0,3.61,1.74,0,3.14
414,1.79,0,3.61,1.74,0,3.13
415,1.79,0,3.6,1.77,0,3.13
416,1.79,0,3.61,1.76,0,3.13
417,1.79,0,3.6,1.76,0,3.13
418,1.79,0,3.6,1.76,0,3.13
419,1.79,0,3.6,1.75,0,3.12
420,1.78,0,3.59,1.75,0,3.12
421,1.78,0,3.59,1.75,0,3.12
422,1.78,0,3.59,1.75,0,3.12
423,1.77,0,3.59,1.74,0,3.12
424,1.77,0,3.58,1.74,0,3.11
425,1.77,0,3.58,1.74,0,3.11
426,1.77,0,3.58,1.74,0,3.11
427,1.77,0,3.57,1.74,0,3.11
428,1.76,0,3.57,1.73,0,3.1
429,1.76,0,3.57,1.73,0,3.1
430,1.76,0,3.56,1.73,0,3.1
431,1.76,0,3.56,1.73,0,3.1
432,2.62,0,3.56,1.72,0,3.1
433,2.62,0,3.56,1.73,0,3.09
434,2.62,0,3.55,1.72,0,3.09
435,2.61,0,3.55,1.72,0,3.09
436,2.64,0,3.55,1.72,0,3.09
437,2.66,0,3.55,1.71,0,3.08
438,2.65,0,3.54,1.71,0,3.08
439,2.65,0,3.54,1.71,0,3.08
440,2.65,0,3.54,1.71,0,3.08
441,2.64,0,3.53,1.7,0,3.07
442,2.65,0,3.53,1.7,0,3.07
443,2.64,0,3.53,1.7,0,3.07
444,2.64,0,3.53,1.7,0,3.07
445,2.64,0,3.52,1.7,0,3.07
446,2.63,0,3.52,1.69,0,3.07
447,2.63,0,3.52,1.69,0,3.06
448,2.63,0,3.52,1.69,0,3.06
449,2.63,0,3.52,1.69,0,4.41
450,2.63,0,3.51,1.68,0,4.41
451,2.62,0,3.51,1.68,0,4.41
452,2.62,0,3.51,1.68,0,4.4
453,2.62,0,3.51,1.68,0,4.4
454,2.61,0,3.5,1.67,0,4.39
455,2.61,0,3.5,1.67,0,4.39
456,2.61,0,3.5,1.67,0,4.39
457,2.61,0,3.49,1.66,0,4.39
458,2.61,0,3.49,1.67,0,4.38
459,2.6,0,3.49,1.66,0,4.38
460,2.6,0,3.48,2.04,0,4.38
461,2.6,0,3.48,2.04,0,4.38
462,2.6,0,3.48,2.04,0,4.37
463,2.6,0,3.48,2.03,0,4.37
464,2.6,0,3.48,2.03,0,4.37
465,2.59,0,3.47,2.03,0,4.37
466,2.59,0,3.47,2.03,0,4.95
467,2.59,0,3.47,2.03,0,4.98
468,2.58,0,3.47,2.02,0,4.98
469,2.58,0,3.46,2.02,0,4.97
470,2.58,0,3.46,2.02,0,4.97
471,2.58,0,3.46,2.02,0,4.96
472,2.98,0,3.46,2.02,0,4.96
473,3.03,0,3.45,2.01,0,4.96
474,3.05,0,3.45,2.01,0,4.96
475,3.06,0,3.45,2.01,0,4.95
476,3.06,0,3.44,2,0,4.95
477,3.06,0,3.44,2,0,4.95
478,3.06,0,3.44,2,0,4.94
479,3.06,0,3.44,2,0,4.94
480,3.06,0,3.43,2,0,4.94
481,3.06,0,3.43,1.99,0,4.94
482,3.05,0,3.43,1.99,0,4.93
483,3.05,0,3.43,1.99,0,4.93
484,3.05,0,3.42,1.99,0,4.93
485,3.04,0,3.42,1.98,0,4.93
486,3.04,0,3.42,1.98,0,4.92
487,3.04,0,3.41,1.98,0,4.92
488,3.04,0,3.41,1.98,0,4.92
489,3.04,0,3.41,1.98,0,4.92
490,3.04,0,3.41,1.97,0,4.91
491,3.03,0,3.4,1.97,0,4.91
492,3.03,0,3.4,1.97,0,4.91
493,3.03,0,3.4,1.97,0,4.91
494,3.02,0,0,1.96,0,4.9
495,3.02,0,0,1.96,0,4.9
496,3.02,0,0,1.96,0,4.9
497,3.02,0,0,1.96,0,4.9
498,3.01,0,0,1.95,0,4.89
499,3.01,0,0,1.95,0,4.89
500,3.01,0,0,1.95,0,4.89
501,3.01,0,0,1.95,0,4.89
502,3,0,0,1.95,0,4.88
503,3,0,0,1.95,0,4.88
504,3,0,0,1.94,0,4.87
505,3,0,0,1.94,0,4.87
506,2.99,0,0,1.94,0,4.87
507,2.99,0,0,1.94,0,4.87
